2000000 58B9 7B7
2059348 59B0 7D2
20B361B 5AAA 7E8
210E8A3 5BA7 7FA
216AB0F 5CA6 818
21C7D86 5DA9 823
222603A 5EAE 83B
2285356 5FB6 851
22E5709 60C0 875
2346B7E 61CE 888
23A90E6 62DF 89A
240C772 63F2 8BC
2470F4E 6509 8CE
24D68AD 6623 8E1
253D3C0 673F 906
25A50B6 685F 91C
260DFC2 6982 934
2678117 6AA8 950
26E34E7 6BD2 95F
274FB67 6CFE 982
27BD4CA 6E2E 99A
282C145 6F61 9B7
289C10C 7098 9CA
290D456 71D2 9E3
297FB5A 730F A04
29F364F 7450 A1B
2A6856B 7594 A3B
2ADE8E7 76DC A54
2B560FC 7827 A76
2BCEDE3 7976 A93
2C48FD7 7AC8 ABA
2CC4710 7C1F ACC
2D413CD 7D79 AEA
2DBF647 7ED7 B05
2E3EEBE 8038 B2D
2EBFD6A 819E B43
2F4228E 8307 B68
2FC5E67 8474 B8C
304B134 85E5 BB0
30D1B33 875B BC4
3159CA9 88D4 BEA
31E35D4 8A51 C12
326E6F6 8BD3 C2D
32FB054 8D59 C4C
3389231 8EE3 C6E
3418CD0 9071 C96
34AA076 9204 CB4
353CD6A 939B CD8
35D13F4 9536 D03
3667458 96D6 D27
36FEEDE 987B D43
37983D2 9A24 D69
383337D 9BD1 D99
38CFE26 9D84 DB5
396E41C 9F3B DDD
3A0E5A9 A0F7 E02
3AB031D A2B7 E34
3B53CC1 A47D E55
3BF92E6 A648 E76
3CA05DE A817 EA7
3D495F4 A9EC EC9
3DF437F ABC5 EFD
3EA0ECC ADA4 F24
3F4F831 AF88 F4F
