4 B8A8 B5C
16E79B B5D1 B06
2D75AA B310 AB3
43ACE4 B064 A63
598FDD ADCC A16
6F210D AB47 9CB
8462C6 A8D5 987
995752 A674 941
AE00D5 A424 8FE
C26163 A1E4 8BD
D67AF5 9FB4 881
EA4F76 9D93 848
FDE0B6 9B81 817
111307F 997C 7E2
124407C 9784 7AC
137124F 9599 77B
149A788 93BA 749
15C01A7 91E7 71B
16E2220 9020 6F3
1800A59 8E63 6C4
191BBA9 8CB2 6A3
1A33761 8B0A 679
1B47EC1 896C 652
1C592FB 87D8 630
1D67541 864C 606
1E726AC 84CA 5E6
1F7A859 8350 5C2
207FB53 81DF 5A5
21820A1 8076 589
2281941 7F14 567
237E625 7DBA 54B
247883C 7C67 52D
2570067 7B1C 517
2664F8D 79D7 4FC
2757682 7898 4DC
284760F 7761 4CA
2934F0B 762F 4AF
2A20233 7503 493
2B09045 73DE 482
2BEFA00 72BE 46C
2CD4014 71A3 452
2DB632F 708E 43D
2E963FD 6F7E 427
2F74320 6E74 41A
305013C 6D6E 405
3129EEA 6C6D 3F2
3201CC1 6B71 3E2
32D7B5A 6A79 3CF
33ABB42 6985 3B9
347DD00 6896 3A8
354E11E 67AC 39F
361C825 66C5 38D
36E9293 65E2 37C
37B40E4 6503 36C
387D394 6428 35E
3944B1E 6350 34C
3A0A7EE 627D 345
3ACEA7D 61AC 332
3B91337 60DF 324
3C52285 6016 31C
3D118D8 5F4F 30A
3DCF68F 5E8C 2FF
3E8BC12 5DCC 2F4
3F469C3 5D0F 2E9
