3FFFFFF FFFE FD2
3F80FDF FC0A F76
3F03F03 F82D F1A
3E88CB3 F467 EC4
3E0F83D F0B6 E6A
3D980F5 ED1B E19
3D22635 E995 DCD
3CAE758 E622 D7C
3C3C3C3 E2C3 D32
3BCBADC DF77 CEC
3B5CC0F DC3D CA5
3AEF6CA D914 C5A
3A83A83 D5FD C18
3A196B1 D2F7 BD9
39B0AD0 D001 B99
3949660 CD1B B5C
38E38E3 CA44 B1E
387F1DF C77C AE1
381C0E0 C4C3 AAA
37BA570 C218 A73
3759F22 BF7B A3E
36FAD87 BCEB A08
369D037 BA69 9DA
36406C7 B7F3 9A9
35E50D7 B589 975
358AE03 B32C 94A
3531DEB B0DA 91A
34DA035 AE94 8EF
3483483 AC59 8C5
342DA7F AA28 894
33D91D3 A803 870
3385A29 A5E7 842
3333333 A3D6 81D
32E1C9F A1CF 7F9
329161F 9FD1 7D2
3241F68 9DDC 7A9
31F3832 9BF1 788
31A6031 9A0F 769
3159722 9835 745
310DCBE 9664 726
30C30C3 949B 705
30792EF 92DA 6E4
3030303 9121 6C5
2FE80C0 8F70 6A9
2FA0BE8 8DC6 68A
2F5A441 8C24 670
2F14990 8A88 64D
2ECFB9C 88F4 633
2E8BA2E 8767 61A
2E4850F 85E0 5FC
2E05C0B 8460 5E2
2DC3EED 82E7 5CE
2D82D83 8174 5B8
2D4279A 8006 599
2D02D02 7E9F 583
2CC3D8D 7D3E 56E
2C8590B 7BE2 554
2C47F4F 7A8D 546
2C0B02C 793C 52C
2BCEB77 77F1 517
2B93105 76AB 500
2B580AE 756B 4F1
2B1DA46 742F 4DA
2AE3DA7 72F8 4C4
2AAAAAB 71C7 4B7
2A72129 709A 4A5
2A3A0FD 6F71 48E
2A02A02 6E4D 47B
29CBC15 6D2E 46C
2995710 6C13 45C
295FAD4 6AFC 449
292A73D 69EA 43D
28F5C29 68DB 428
28C1979 67D1 41C
288DF0C 66CA 408
285ACC5 65C8 3FE
2828282 64C9 3EE
27F6028 63CE 3E0
27C4597 62D6 3CD
27932B4 61E2 3BE
2762762 60F2 3B3
2732385 6005 3A5
2702703 5F1C 39C
26D31BE 5E35 389
26A439F 5D52 37C
2675C8C 5C73 376
2647C69 5B96 367
261A320 5ABC 358
25ED098 59E6 351
25C04B8 5912 342
2593F69 5841 334
2568096 5774 330
253C825 56A8 31D
2511602 55E0 315
24E6A17 551B 30F
24BC44E 5458 304
2492492 5397 2F5
2468ACF 52D9 2E9
243F6F0 521E 2E2
24168E1 5165 2D6
23EE090 50AF 2D0
23C5DE7 4FFB 2C6
239E0D5 4F49 2BB
2376948 4E9A 2B4
234F72C 4DED 2AC
2328A70 4D42 2A2
2302302 4C99 297
22DC0D1 4BF3 293
22B63CB 4B4E 286
2290BE1 4AAC 281
226B902 4A0C 27B
2246B1D 496D 26D
2222222 48D1 268
21FDE02 4837 264
21D9EAD 479E 258
21B6415 4708 255
2192E2A 4673 24C
216FCDD 45E0 244
214D021 454F 23E
212A7E7 44C0 23A
2108421 4432 230
20E64C1 43A6 229
20C49BA 431C 225
20A32FF 4293 21B
2082082 420C 215
2061237 4187 212
2040810 4103 20A
2020202 4081 206
