3FFFFFD FFFA BC3
3F817AF FA18 B52
3F05D8F F46F AE8
3E8CFE3 EEFB A80
3E16D07 E9BB A21
3DA336D E4AB 9C4
3D32199 DFC9 96C
3CC3625 DB13 918
3C56FBA D687 8C9
3BECD12 D222 87C
3B84CF7 CDE4 836
3B1EE40 C9C9 7EF
3ABAFD4 C5D1 7AE
3A590A6 C1FA 770
39F8FB3 BE42 733
399AC07 BAA8 6F9
393E4B7 B72B 6C3
38E38E3 B3CA 690
388A7B1 B082 65B
3833055 AD54 62B
37DD20A AA3E 5FD
3788C11 A73F 5CF
3735DB6 A457 5A7
36E464B A184 57F
3694527 9EC5 556
36459AA 9C1A 531
35F833B 9982 50D
35AC143 96FC 4EA
3561335 9487 4C6
3517887 9224 4A8
34CF0B6 8FD0 486
3487B41 8D8D 46B
34417AD 8B58 44D
33FC586 8932 431
33B8458 871A 417
33753B4 850F 3FC
3333332 8311 3E1
32F226C 8120 3C9
32B20FD 7F3B 3B1
3272E86 7D62 39B
3234AAC 7B94 384
31F7513 79D1 36F
31BAD68 7819 35B
317F355 766B 347
314468B 74C7 334
310A6BB 732D 323
30D1399 719C 312
3098CDB 7013 2FD
306123D 6E94 2ED
302A376 6D1D 2DD
2FF4047 6BAE 2CC
2FBE86F 6A48 2BF
2F89BAC 68E9 2B1
2F559C5 6791 2A0
2F2227E 6641 293
2EEF59C 64F8 287
2EBD2E8 63B5 277
2E8BA2E 6279 269
2E5AB38 6144 25E
2E2A5D4 6015 252
2DFA9CF 5EEC 246
2DCB6FA 5DC9 23A
2D9CD26 5CAC 230
2D6EC25 5B94 224
