2D413CB B501 852
2CE7C64 B0D8 802
2C905A5 ACD7 7B6
2C3AE55 A8FC 76C
2BE754C A546 72A
2B9596D A1B1 6E7
2B459B0 9E3E 6AC
2AF7516 9AE9 66F
2AAAAAA 97B2 638
2A5F987 9496 5FF
2A160D4 9196 5CE
29CDFBD 8EAF 59C
298757C 8BE1 570
2942152 8929 540
28FE289 8688 516
28BB874 83FD 4F1
287A26B 8185 4C8
2839FD2 7F21 4A3
27FB00F 7CD0 481
27BD28F 7A90 45E
27806C9 7861 43B
2744C36 7643 41D
270A257 7435 400
26D08AE 7235 3E1
2697EC7 7044 3C5
266042F 6E61 3AA
262987B 6C8C 393
25F3B3F 6AC3 379
25BEC18 6907 363
258AAA4 6756 34A
2557687 65B1 334
2524F65 6417 31E
24F34E8 6288 30B
24C26BD 6103 2F7
2492493 5F88 2E4
2462E1A 5E16 2D0
243430A 5CAE 2C0
2406319 5B4E 2AD
23D8E02 59F7 29C
23AC381 58A9 28E
2380353 5762 27D
2354D3C 5623 26D
232A0FD 54EC 25F
22FFE5C 53BC 252
22D651E 5293 244
22AD50E 5171 238
2284DF5 5055 22A
225CFA0 4F40 21E
22359DC 4E31 213
220EC79 4D28 208
21E8748 4C24 1FA
21C2A1B 4B27 1F2
219D4C6 4A2F 1E8
217871E 493C 1DD
21540F7 484E 1D3
213022C 4765 1C8
210CA94 4681 1BF
20E9A09 45A2 1B7
20C7066 44C7 1AD
20A4D87 43F1 1A5
2083148 431F 19D
2061B89 4251 194
2040C28 4187 18A
2020305 40C2 186
