2000001 7FFF 7E1
203FC09 7F02 7B3
207F03F 7E0B 78B
20BDCD3 7D19 75B
20FC1ED 7C2D 737
2139FBA 7B46 712
2177661 7A64 6EF
21B460A 7986 6C1
21F0ED9 78AE 6AA
222D0F5 77D9 67C
2268C80 7709 65B
22A419B 763D 638
22DF066 7576 625
2319904 74B2 605
2353B92 73F2 5EA
238D82E 7335 5C4
23C6EF4 727C 5A7
2400000 71C7 594
2438B6E 7115 57D
2471158 7066 562
24A91D7 6FBA 546
24E0D05 6F11 52B
25182F8 6E6B 510
254F3C7 6DC9 509
2585F8C 6D28 4E5
25BC659 6C8B 4D7
25F2846 6BF0 4BF
2628566 6B58 4AF
265DDCF 6AC2 498
2693193 6A2F 48A
26C80C6 699E 477
26FCB7B 690F 460
27311C2 6883 456
27653B0 67F8 439
2799154 6770 42B
27CCABE 66EA 41C
2800000 6666 40D
283312A 65E4 3FF
2865E4A 6564 3F3
2898770 64E6 3EA
28CACAC 6469 3D3
28FCE0B 63EE 3C0
292EB9A 6376 3C2
296056A 62FE 3A9
2991B86 6289 3A5
29C2DFB 6215 398
29F3CD8 61A2 382
2A24827 6131 373
2A54FF5 60C2 36C
2A8544F 6054 35E
2AB5540 5FE8 359
2AE52D3 5F7D 34E
2B14D15 5F13 33D
2B4440F 5EAB 336
2B737CC 5E44 32A
2BA2856 5DDF 329
2BD15BB 5D7A 315
2C00000 5D17 30C
2C2E732 5CB5 301
2C5CB59 5C55 302
2C8AC81 5BF5 2F1
2CB8AB0 5B97 2EE
2CE65F1 5B3A 2E8
2D13E4E 5ADD 2D2
