2D413CD B504 B2C
2D9B658 B39E AE8
2DF4DD4 B241 AB4
2E4DA83 B0EB A74
2EA5CA2 AF9D A3D
2EFD46C AE56 A04
2F5421A AD16 9CC
2FAA5E4 ABDD 99A
3000000 AAAA 961
30550A0 A97E 934
30A97F7 A858 908
30FD634 A737 8CE
3150B85 A61D 8AB
31A3818 A508 880
31F5C19 A3F8 852
32477B0 A2EE 832
3298B08 A1E8 803
32E9646 A0E8 7E7
3339993 9FEC 7C2
3389513 9EF4 794
33D88EA 9E01 770
3427539 9D13 759
3475A26 9C28 730
34C37CE 9B42 717
3510E53 9A5F 6F0
355DDD3 9981 6DC
35AA66D 98A6 6BE
35F683F 97CE 697
3642364 96FB 688
368D7F9 962A 663
36D8617 955D 649
3722DDB 9494 63C
376CF5D 93CD 61D
37B6AB7 9309 5FE
3800000 9249 5EF
3848F51 918B 5D2
38918C0 90D1 5C8
38D9C64 9019 5B2
3921A54 8F63 591
39692A3 8EB1 586
39B0568 8E01 573
39F72B8 8D53 557
3A3DAA4 8CA8 545
3A83D42 8BFF 52D
3AC9AA4 8B59 51F
3B0F2DD 8AB5 50D
3B545FE 8A13 4F8
3B9941A 8974 4F0
3BDDD42 88D6 4D6
3C22187 883B 4CC
3C660F9 87A2 4C0
3CA9BAA 870A 4A5
3CED1A7 8675 49B
3D30302 85E2 493
3D72FC9 8550 47C
3DB580B 84C0 469
3DF7BD7 8432 459
3E39B3A 83A6 44E
3E7B643 831C 447
3EBCD00 8293 435
3EFDF7E 820C 429
3F3EDC9 8187 423
3F7F7F0 8103 414
3FBFDFE 8081 40C
