5 B8A8 B5C
16E79B B5D1 B06
2D75AB B310 AB3
43ACE4 B064 A63
598FDE ADCC A16
6F210D AB47 9CB
8462C4 A8D5 986
995753 A674 941
AE00D5 A424 8FE
C26164 A1E4 8BD
D67AF6 9FB4 881
EA4F77 9D93 849
FDE0B7 9B81 817
111307E 997C 7E1
124407F 9784 7AD
1371250 9599 77B
149A789 93BA 749
15C01A8 91E7 71A
16E2220 9020 6F3
1800A5B 8E63 6C4
191BBA8 8CB2 6A2
1A33762 8B0A 679
1B47EC2 896C 652
1C592FC 87D8 630
1D67543 864C 606
1E726AE 84CA 5E6
1F7A856 8351 5C9
207FB57 81DF 5A6
21820A2 8076 589
2281944 7F14 568
237E628 7DBA 54B
247883F 7C67 52D
2570069 7B1C 517
2664F8F 79D7 4FC
2757685 7898 4DD
2847611 7761 4CA
2934F0D 762F 4AF
2A20236 7503 493
2B09047 73DE 482
2BEFA01 72BE 46C
2CD4017 71A3 452
2DB6332 708E 43D
2E963FA 6F7F 42F
2F74322 6E74 41A
305013E 6D6E 405
3129EEC 6C6D 3F2
3201CC3 6B71 3E2
32D7B5C 6A79 3CF
33ABB45 6985 3B9
347DD03 6896 3A8
354E120 67AC 39F
361C826 66C5 38D
36E9295 65E2 37C
37B40E7 6503 36C
387D397 6428 35F
3944B21 6350 34C
3A0A7EF 627D 345
3ACEA80 61AC 332
3B9133B 60DF 325
3C52287 6016 31C
3D118DC 5F4F 30B
3DCF693 5E8C 300
3E8BC14 5DCC 2F4
3F469C5 5D0F 2E9
