3FFFFFF FFFD FCE
3F80FE0 FC09 F70
3F03F05 F82D F1C
3E88CB4 F466 EBE
3E0F83F F0B6 E6B
3D980F7 ED1B E1B
3D22636 E994 DC6
3CAE75A E622 D7E
3C3C3C5 E2C3 D34
3BCBADD DF76 CE5
3B5CC11 DC3D CA6
3AEF6CC D914 C5B
3A83A85 D5FD C19
3A196B4 D2F7 BD9
39B0AD3 D001 B99
3949663 CD1B B5C
38E38E5 CA44 B1F
387F1E1 C77C AE3
381C0E2 C4C3 AAA
37BA572 C218 A74
3759F24 BF7B A3F
36FAD89 BCEB A09
369D039 BA69 9DB
36406CA B7F3 9AA
35E50D9 B589 976
358AE04 B32B 943
3531DEE B0DA 91A
34DA037 AE94 8F0
3483484 AC58 8BE
342DA81 AA28 894
33D91D5 A803 871
3385A2B A5E7 843
3333335 A3D6 81D
32E1CA1 A1CF 7FB
3291622 9FD1 7D2
3241F6A 9DDC 7AB
31F3834 9BF1 788
31A6034 9A0F 769
3159724 9835 745
310DCC0 9664 727
30C30C5 949B 706
30792F1 92DA 6E6
3030305 9121 6C6
2FE80C2 8F70 6AA
2FA0BEA 8DC6 68A
2F5A442 8C23 669
2F14992 8A88 64D
2ECFB9E 88F4 633
2E8BA31 8767 61A
2E48511 85E0 5FD
2E05C0D 8460 5E3
2DC3EF0 82E7 5CE
2D82D84 8173 5B1
2D4279C 8006 599
2D02D05 7E9F 583
2CC3D90 7D3E 56E
2C8590D 7BE2 554
2C47F50 7A8C 53F
2C0B02E 793C 52C
2BCEB79 77F1 517
2B93107 76AB 501
2B580B0 756B 4F1
2B1DA48 742F 4DA
2AE3DA9 72F8 4C4
2AAAAAD 71C7 4B8
2A7212C 709A 4A5
2A3A0FF 6F71 48E
2A02A04 6E4D 47C
29CBC17 6D2E 46D
2995713 6C13 45C
295FAD6 6AFC 449
292A73F 69EA 43D
28F5C2B 68DB 429
28C197C 67D1 41C
288DF0F 66CA 408
285ACC6 65C7 3F7
2828285 64C9 3EE
27F602B 63CE 3DF
27C4599 62D6 3CE
27932B6 61E2 3BF
2762765 60F2 3B3
2732388 6005 3A5
2702705 5F1C 39D
26D31C0 5E35 38A
26A43A1 5D52 37D
2675C8D 5C72 36E
2647C6C 5B96 367
261A322 5ABC 358
25ED09A 59E6 351
25C04BA 5912 342
2593F6B 5841 335
2568097 5773 328
253C827 56A8 31D
2511604 55E0 316
24E6A1A 551B 30F
24BC451 5458 304
2492494 5397 2F6
2468AD1 52D9 2E9
243F6F2 521E 2E2
24168E3 5165 2D7
23EE092 50AF 2D0
23C5DEA 4FFB 2C6
239E0D8 4F49 2BA
237694A 4E9A 2B5
234F72F 4DED 2AC
2328A72 4D42 2A3
2302304 4C99 297
22DC0D4 4BF3 293
22B63CE 4B4E 286
2290BE4 4AAC 281
226B905 4A0C 27B
2246B20 496E 275
2222224 48D1 269
21FDE05 4837 263
21D9EAF 479E 259
21B6418 4708 255
2192E2C 4673 24C
216FCE0 45E0 244
214D024 454F 23E
212A7EA 44C0 23A
2108424 4432 230
20E64C4 43A6 229
20C49BD 431C 225
20A3301 4293 21C
2082084 420C 215
2061238 4186 20A
2040813 4103 20A
2020205 4081 206
