3FFFFFF FFFA BC4
3F817B1 FA18 B53
3F05D91 F46F AE9
3E8CFE5 EEFB A81
3E16D09 E9BB A22
3DA336F E4AB 9C5
3D3219B DFC9 96D
3CC3627 DB13 919
3C56FBC D687 8CA
3BECD13 D222 87D
3B84CF7 CDE3 833
3B1EE41 C9C9 7F1
3ABAFD6 C5D1 7AF
3A590A6 C1F9 76D
39F8FB5 BE42 734
399AC09 BAA8 6FA
393E4B9 B72B 6C4
38E38E4 B3C9 68D
388A7B3 B082 65C
3833057 AD54 62C
37DD20C AA3E 5FD
3788C13 A73F 5D0
3735DB7 A456 5A4
36E464D A184 580
3694529 9EC5 557
36459AC 9C1A 532
35F833B 9981 50A
35AC145 96FC 4EB
3561337 9487 4C6
351788A 9224 4A8
34CF0B7 8FD0 487
3487B44 8D8D 46B
34417B0 8B58 44D
33FC588 8932 432
33B845A 871A 418
33753B7 850F 3FC
3333335 8311 3E1
32F226E 8120 3C9
32B20FF 7F3B 3B1
3272E88 7D62 39C
3234AAF 7B95 389
31F7517 79D2 373
31BAD6A 7819 35C
317F358 766B 347
314468D 74C7 335
310A6BD 732D 324
30D139A 719B 30E
3098CDD 7013 2FD
306123F 6E94 2ED
302A379 6D1D 2DD
2FF4049 6BAE 2CC
2FBE871 6A48 2C0
2F89BAE 68E8 2AD
2F559C7 6791 2A1
2F22280 6641 294
2EEF59D 64F7 283
2EBD2EB 63B5 277
2E8BA30 6279 26A
2E5AB3B 6144 25E
2E2A5D6 6015 252
2DFA9D1 5EEC 246
2DCB6FC 5DC9 23B
2D9CD29 5CAC 230
2D6EC28 5B94 224
