2D413CD B501 853
2CE7C66 B0D8 803
2C905A7 ACD7 7B7
2C3AE57 A8FC 76E
2BE754C A545 728
2B9596F A1B1 6E8
2B459B1 9E3D 6A9
2AF7515 9AE8 66D
2AAAAAB 97B1 635
2A5F989 9496 600
2A160D6 9196 5CF
29CDFBF 8EAF 59D
298757D 8BE0 56D
2942155 892A 545
28FE28C 8689 51B
28BB875 83FC 4ED
287A26D 8185 4C9
2839FD2 7F20 4A0
27FB011 7CD0 482
27BD292 7A90 45E
27806CB 7861 43C
2744C39 7643 41D
270A258 7434 3FD
26D08B0 7235 3E2
2697EC9 7044 3C5
2660431 6E61 3AB
262987C 6C8B 38F
25F3B42 6AC3 379
25BEC1A 6906 35F
258AAA7 6756 34A
2557689 65B1 334
2524F67 6417 31F
24F34EB 6288 30B
24C26BF 6103 2F8
2492493 5F87 2E1
2462E1C 5E16 2D1
243430D 5CAE 2C0
240631B 5B4E 2AD
23D8E04 59F7 29C
23AC383 58A9 28E
2380356 5762 27D
2354D3E 5623 26D
232A0FF 54EC 260
22FFE5E 53BC 252
22D6521 5293 244
22AD511 5171 238
2284DF7 5055 22A
225CFA3 4F40 21E
22359DF 4E31 213
220EC7C 4D28 208
21E874A 4C24 1FA
21C2A1E 4B27 1F2
219D4C9 4A2F 1E8
2178720 493C 1DE
21540FA 484E 1D3
213022F 4765 1C8
210CA97 4681 1BE
20E9A0C 45A2 1B7
20C7068 44C7 1AD
20A4D8A 43F1 1A5
208314A 431E 199
2061B8C 4251 194
2040C2A 4187 18B
2020308 40C2 186
