2000000 8005 80
1F00163 7FE5 17E
1E00AB0 7F86 27A
1D023E5 7EE6 371
1C054DD 7E0A 461
1B0A517 7CF2 549
1A11C03 7B9F 627
191C0C1 7A15 6F9
1829A0F 7856 7BF
173AE3E 7667 876
1650341 7449 91E
1569EA2 7201 9B7
1488568 6F93 A41
13ABC10 6D02 AB8
12D46B6 6A54 B25
12028D3 678B B7A
1136563 64AC BC6
106FEFB 61BB BFD
FAF796 5EBC C28
EF50BA 5BB2 C42
E40B81 58A1 C4C
D92896 558E C52
CEA826 527A C48
C48A0D 4F69 C36
BACDC1 4C5C C0E
B17275 4958 BE3
A87708 465F BB2
9FD9F3 4371 B77
9799AC 4092 B39
8FB44E 3DC3 AF6
8827C9 3B05 AAF
80F1EB 3858 A61
7A105A 35BF A11
7380A8 333B 9C0
6D4049 30CA 96D
674CB5 2E6E 916
61A34C 2C28 8C3
5C415A 29F7 86F
572437 27DB 818
524937 25D4 7C4
4DADC9 23E3 773
494F37 2206 71F
452AF1 203D 6CC
413E7D 1E89 681
3D8760 1CE9 635
3A0316 1B5B 5EA
36AF5A 19E0 5A2
3389DD 1877 55C
30906C 1720 519
2DC0D0 15D9 4D8
2B190D 14A3 49A
289713 137C 45D
2638FE 1264 423
23FD00 115B 3EB
21E14D 105F 3B7
1FE431 F72 385
1E0404 E90 355
1C3F55 DBA 326
1A9492 CF1 2FB
19025E C32 2D1
17875B B7D 2A8
162255 AD3 284
14D203 A31 25F
139546 99B 246
126AFD 90B 224
11522D 883 205
1049CB 804 1E8
F50EA 78B 1CB
E66AC 719 1B1
D8A47 6AE 198
CBAE2 649 181
BF7C2 5EA 16A
B4027 590 156
A937C 53C 142
9F103 4EC 12F
95839 4A1 11E
8C890 45B 10E
84167 418 FD
7C258 3DA F1
74ADB 39F E1
6DA7E 367 D0
670DC 333 C5
60D8C 302 BA
5B030 2D4 B1
55872 2A8 A6
505EF 280 9C
4B857 259 93
46F75 235 8A
42AF0 213 82
3EA8A 1F3 7A
3AE04 1D5 73
37529 1B9 6C
33FB8 19E 67
30D7A 186 62
2DE3F 16E 59
2B1E1 158 54
2882F 143 4E
26104 130 4B
23C2C 11D 43
21997 10C 40
1F914 FC 3E
1DA8B EC 3B
1BDDD DE 37
1A2DD D1 33
18985 C4 2E
171BB B9 30
15B58 AD 28
14656 A3 28
13292 99 26
12009 90 24
10E96 87 21
FE38 7F 1F
EED3 77 1C
E05F 70 1B
D2C4 69 1A
C609 63 19
BA0B 5D 17
AEC5 57 14
A431 52 14
9A3F 4D 13
90E7 48 F
8822 44 11
7FE5 40 10
7824 3C F
70DD 38 C
6A09 35 E
639F 32 E
5D96 2F D
