6 C913 20
192152 C903 5C
323EC6 C8D5 9C
4B5480 C887 D8
645E96 C81B 117
7D5932 C790 155
96407D C6E6 193
AF109D C61D 1CF
C7C5BC C536 20D
E05C0F C430 248
F8CFC5 C30C 283
1111D21 C1CA 2BF
129405F C06A 2FA
14135C4 BEED 337
158F9A1 BD52 371
170884D BB9A 3AC
187DE29 B9C4 3E2
19EF78E B7D3 41D
1B5D0FB B5C5 456
1CC66E9 B39A 48A
1E2B5CE B155 4C4
1F8BA48 AEF4 4FA
20E70F0 AC77 52C
223D665 A9E1 563
238E762 A730 597
24DA0A5 A465 5C8
261FEFA A181 5FA
275FF41 9E84 62B
2899E5F 9B6F 65D
29CD953 9841 689
2AFAD25 94FC 6B7
2C216E9 91A0 6E3
2D413CA 8E2E 710
2E5A102 8AA6 73B
2F6BBDF 8708 763
30761BE 8356 78E
317900C 7F8F 7B4
3274445 7BB5 7DB
3367C08 77C7 7FE
34534F0 73C8 825
3536CC2 6FB6 847
3612148 6B93 868
36E5068 675F 886
37AF812 631C 8A6
387165D 5EC9 8C3
392A961 5A68 8E0
39DAF5D 55F8 8F8
3A82698 517C 914
3B20D76 4CF3 92C
3BB6275 485D 93E
3C42420 43BD 954
3CC511B 3F13 96A
3D3E828 3A5E 979
3DAE81E 35A1 98B
3E14FE0 30DB 999
3E71E74 2C0E 9A7
3EC52F9 273A 9B3
3F0ECA0 2260 9BE
3F4EAAF 1D81 9C8
3F84C8E 189D 9CF
3FB11B6 13B5 9D4
3FD39B4 ECB 9DB
3FEC43B 9DE 9DE
3FFB10B 4EF 9DD
