2D413D0 B504 B2D
2D9B65B B39E AE9
2DF4DD7 B241 AB6
2E4DA86 B0EB A75
2EA5CA4 AF9D A3D
2EFD46E AE56 A04
2F5421D AD16 9CE
2FAA5E7 ABDD 99B
3000003 AAAA 962
30550A3 A97E 936
30A97F9 A858 909
30FD637 A737 8D0
3150B87 A61D 8AA
31A381A A508 87F
31F5C1B A3F8 852
32477B2 A2EE 832
3298B0A A1E8 802
32E9648 A0E8 7E6
3339995 9FEC 7C0
3389516 9EF4 795
33D88EC 9E01 770
342753C 9D13 75A
3475A28 9C28 730
34C37D0 9B42 717
3510E56 9A5F 6F1
355DDD5 9981 6DC
35AA670 98A6 6C0
35F6842 97CE 698
3642366 96FB 688
368D7FB 962A 662
36D861A 955D 649
3722DDD 9494 63D
376CF60 93CD 61F
37B6ABA 9309 5FF
3800002 9249 5EE
3848F54 918B 5D3
38918C2 90D1 5C8
38D9C66 9019 5B1
3921A57 8F63 592
39692A5 8EB1 584
39B056B 8E01 574
39F72BA 8D53 557
3A3DAA7 8CA8 546
3A83D45 8BFF 52D
3AC9AA6 8B59 51E
3B0F2DF 8AB5 50D
3B54601 8A13 4F9
3B9941C 8974 4EF
3BDDD45 88D6 4D6
3C2218A 883B 4CD
3C660FC 87A2 4C1
3CA9BAD 870A 4A7
3CED1AA 8675 49C
3D30304 85E2 493
3D72FCB 8550 47B
3DB580E 84C0 46B
3DF7BDA 8432 45C
3E39B3D 83A6 44F
3E7B645 831C 445
3EBCD03 8293 436
3EFDF80 820C 428
3F3EDCB 8187 421
3F7F7F2 8103 413
3FBFE00 8081 40C
